./deficiencies/magnesium deficiency/magnesium_deficiency_5221f9ee.jpg,magnesium deficiency
./deficiencies/nitrogen deficiency/nitrogen_deficiency_3c99d337.jpg,nitrogen deficiency
./deficiencies/nitrogen deficiency/nitrogen_deficiency_578606ea.jpg,nitrogen deficiency
./deficiencies/nitrogen deficiency/nitrogen_deficiency_8f809606.jpg,nitrogen deficiency
./deficiencies/phosphorus deficiency/phosphorus_deficiency_a82c9d0d.jpg,phosphorus deficiency
./deficiencies/potassium deficiency/potassium_deficiency_2a2cc66f.jpg,potassium deficiency
./deficiencies/potassium deficiency/potassium_deficiency_541386d4.jpg,potassium deficiency
./deficiencies/potassium deficiency/potassium_deficiency_5a7c694b.jpg,potassium deficiency
./infections/anthracnose/anthracnose_1312698.jpg,anthracnose
./infections/anthracnose/anthracnose_1312699.jpg,anthracnose
./infections/anthracnose/anthracnose_476192554.jpg,anthracnose
./infections/anthracnose/anthracnose_5764239.jpg,anthracnose
./infections/anthracnose/anthracnose_5764240.jpg,anthracnose
./infections/anthracnose/anthracnose_5764241.jpg,anthracnose
./infections/anthracnose/anthracnose_5764242.jpg,anthracnose
./infections/anthracnose/anthracnose_5764243.jpg,anthracnose
./infections/anthracnose/anthracnose_5764244.jpg,anthracnose
./infections/anthracnose/anthracnose_5764246.jpg,anthracnose
./infections/anthracnose/anthracnose_5764247.jpg,anthracnose
./infections/anthracnose/anthracnose_5764248.jpg,anthracnose
./infections/anthracnose/anthracnose_5764250.jpg,anthracnose
./infections/anthracnose/anthracnose_5764251.jpg,anthracnose
./infections/anthracnose/anthracnose_5764252.jpg,anthracnose
./infections/aster yellows/aster_yellows_100828648.jpg,aster yellows
./infections/aster yellows/aster_yellows_214288641.jpg,aster yellows
./infections/aster yellows/aster_yellows_220134756.jpg,aster yellows
./infections/aster yellows/aster_yellows_400287073.jpg,aster yellows
./infections/aster yellows/aster_yellows_400287302.jpg,aster yellows
./infections/aster yellows/aster_yellows_400289741.jpg,aster yellows
./infections/aster yellows/aster_yellows_400290612.jpg,aster yellows
./infections/aster yellows/aster_yellows_48790280.jpg,aster yellows
./infections/aster yellows/aster_yellows_48790288.jpg,aster yellows
./infections/aster yellows/aster_yellows_48790302.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147623.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147661.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147693.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147725.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147756.jpg,aster yellows
./infections/botrytis blight/botrytis_blight_298856781.jpg,botrytis blight
